dataset,model,task,n_train,d,primary_metric,val_primary,train_time_s,inf_s_per_sample,error,test_rmse,test_r2,test_accuracy,test_auc_roc
appliances_energy,catboost,regression,11841,27,rmse,69.75672150212728,11.059070110321045,3.5367134042048353e-06,,66.9634766974125,0.5519070258023853,,
appliances_energy,random_forest,regression,11841,27,rmse,73.7450345922906,1.688896656036377,4.1430045418537564e-05,,72.6139725351176,0.4730947327481273,,
appliances_energy,xgboost,regression,11841,27,rmse,67.43539272457234,41.650089740753174,9.48491566447569e-05,,65.7483536118588,0.5680217195949263,,
appliances_energy,xrfm,regression,11841,27,rmse,68.29301800270318,11.5247163772583,2.600514257531061e-05,,65.29398296719118,0.5739716795173959,,
crop_mapping,random_forest,multiclass,30000,174,accuracy,0.9912,12.183357954025269,2.3556804656982422e-05,,,,0.9892,0.99980955643541
crop_mapping,xgboost,multiclass,30000,174,accuracy,0.9947,40.03457760810852,1.9585752487182618e-05,,,,0.991,0.999858504401706
crop_mapping,xrfm,multiclass,30000,174,accuracy,0.9963,12.833613634109497,2.5867223739624025e-06,,,,0.9945,0.9998773444969808
hcc_survival,catboost,binary,99,49,auc_roc,0.9461538461538461,0.5667588710784912,4.655664617365057e-05,,,,0.7878787878787878,0.8192307692307692
hcc_survival,random_forest,binary,99,49,auc_roc,0.8807692307692307,0.9354522228240967,0.0036668777465820312,,,,0.8484848484848485,0.85
hcc_survival,xgboost,binary,99,49,auc_roc,0.9153846153846154,0.023318767547607422,1.8726695667613637e-05,,,,0.8181818181818182,0.8346153846153846
hcc_survival,xrfm,binary,99,49,auc_roc,0.8923076923076924,0.12365937232971191,5.049416513154001e-05,,,,0.7575757575757576,0.8
ida2016,catboost,binary,36000,170,auc_roc,0.9886779661016949,3.127474069595337,4.801154136657715e-07,,,,0.9936666666666667,0.9918427966101695
ida2016,random_forest,binary,36000,170,auc_roc,0.9856786016949153,5.830841302871704,1.5080352624257406e-05,,,,0.99175,0.9893309322033899
ida2016,xgboost,binary,36000,170,auc_roc,0.9877004237288135,52.07891130447388,3.0246376991271972e-05,,,,0.9929166666666667,0.9927745762711865
ida2016,xrfm,binary,36000,170,auc_roc,0.9881063559322033,16.948965787887573,5.906263987223307e-06,,,,0.9896666666666667,0.9897656779661016
seoul_bike,catboost,regression,5256,12,rmse,206.91657209678684,5.185882329940796,1.8741442188280358e-06,,225.66036860678176,0.877779762899519,,
seoul_bike,random_forest,regression,5256,12,rmse,228.76178842667255,0.512854814529419,5.743642375893789e-05,,245.64179880098223,0.8551771554447418,,
seoul_bike,xgboost,regression,5256,12,rmse,211.72928442519128,5.405781507492065,3.72139830567521e-05,,232.32192658689732,0.8704573024110265,,
seoul_bike,xrfm,regression,5256,12,rmse,218.7280306373861,2.12813401222229,1.5932539282324108e-05,,238.44264252161153,0.863541564456715,,
